region,province,milieu,type_centre,etat_centre,province_id
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP C,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP C,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP C,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP C,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP C,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP C,Opérationnel,MA-OUJ
L'Oriental,Driouche,Rural,CSP C,Opérationnel,MA-DRI
L'Oriental,Driouche,Urbain,CSP C,Opérationnel,MA-DRI
L'Oriental,Driouche,Urbain,CSP C,Opérationnel,MA-DRI
L'Oriental,Driouche,Rural,CSP C,Opérationnel,MA-DRI
L'Oriental,Driouche,Rural,CSP C,Opérationnel,MA-DRI
L'Oriental,Driouche,Rural,CSP C,Opérationnel,MA-DRI
L'Oriental,Driouche,Rural,CSP C,Opérationnel,MA-DRI
L'Oriental,Driouche,Rural,CSP C,Opérationnel,MA-DRI
Guelmim-Oued Noun (EH-partial),Guelmim,Rural,CSP A,Quasi-opérationnel,MA-GUE
Guelmim-Oued Noun (EH-partial),Guelmim,Rural,CSP A,Quasi-opérationnel,MA-GUE
Guelmim-Oued Noun (EH-partial),Sidi Ifni,Urbain,CSP A,Opérationnel,MA-SIF
Guelmim-Oued Noun (EH-partial),Sidi Ifni,Rural,CSP A,Opérationnel,MA-SIF
Guelmim-Oued Noun (EH-partial),Sidi Ifni,Urbain,CSP A,Opérationnel,MA-SIF
Guelmim-Oued Noun (EH-partial),Tan-Tan,Urbain,CSP A,Opérationnel,MA-TNT
Béni Mellal-Khénifra,Azilal,Rural,CSP C,Opérationnel,MA-AZI
Béni Mellal-Khénifra,Azilal,Rural,CSP C,Opérationnel,MA-AZI
Béni Mellal-Khénifra,Béni Mellal,Rural,CSP A,Non opérationnel,MA-BEM
Béni Mellal-Khénifra,Fquih Ben Salah,Urbain,CSP C,Opérationnel,MA-FQH
Béni Mellal-Khénifra,Khénifra,Rural,CSP A,Opérationnel,MA-KHN
Béni Mellal-Khénifra,Khénifra,Rural,CSP C,Non opérationnel,MA-KHN
Béni Mellal-Khénifra,KHOURIBGA,Urbain,CSP A,Non opérationnel,MA-KHO
Béni Mellal-Khénifra,KHOURIBGA,Rural,CSP C,Opérationnel,MA-KHO
Béni Mellal-Khénifra,KHOURIBGA,Urbain,CSP B,Opérationnel,MA-KHO
Béni Mellal-Khénifra,KHOURIBGA,Rural,CSP C,Opérationnel,MA-KHO
Laâyoune-Sakia El Hamra (EH-partial),Laayoune,Urbain,CSP A,Opérationnel,MA-LAA
Laâyoune-Sakia El Hamra (EH-partial),Boujdour,Urbain,CSP A,Opérationnel,MA-BOD
Laâyoune-Sakia El Hamra (EH-partial),ES-semara,Urbain,CSP A,Opérationnel,MA-ESM
Laâyoune-Sakia El Hamra (EH-partial),ES-semara,Urbain,CSP A,Opérationnel,MA-ESM
Laâyoune-Sakia El Hamra (EH-partial),ES-semara,Urbain,CSP A,Quasi-opérationnel,MA-ESM
Laâyoune-Sakia El Hamra (EH-partial),Tarfaya,Urbain,CSP A,Opérationnel,MA-TAF
Casablanca-Settat,SETTAT,Urbain,CSP B,Opérationnel,MA-SET
Casablanca-Settat,SETTAT,Rural,CSP B,Opérationnel,MA-SET
Casablanca-Settat,SETTAT,Rural,CSP B,Opérationnel,MA-SET
Casablanca-Settat,SETTAT,Urbain,CSP B,Opérationnel,MA-SET
Casablanca-Settat,SETTAT,Urbain,CSP B,Opérationnel,MA-SET
Casablanca-Settat,Mohammedia,Urbain,CSP A,Opérationnel,MA-MOH
Casablanca-Settat,Mohammedia,Urbain,CSP B,Opérationnel,MA-MOH
Casablanca-Settat,Berrechid,Urbain,CSP A,Opérationnel,MA-BRR
Casablanca-Settat,El Jadida,Urbain,CSP A,Opérationnel,MA-JDI
Casablanca-Settat,Benslimane,Urbain,CSP A,Opérationnel,MA-BES
Casablanca-Settat,Benslimane,Urbain,CSP A,Opérationnel,MA-BES
Casablanca-Settat,Benslimane,Urbain,CSP A,Opérationnel,MA-BES
Casablanca-Settat,mediouna,Rural,CSP,Opérationnel,MA-MED
Casablanca-Settat,Ain Chock Hay Hassani Nouaceur,Rural,CSP C,Opérationnel,MA-NOU
Casablanca-Settat,Ain Chock Hay Hassani Nouaceur,Rural,CSP C,Opérationnel,MA-NOU
Casablanca-Settat,Ain Chock Hay Hassani Nouaceur,Rural,CSP C,Opérationnel,MA-NOU
Casablanca-Settat,Ain Chock Hay Hassani Nouaceur,Rural,CSP C,Opérationnel,MA-NOU
Casablanca-Settat,Ain Chock Hay Hassani Nouaceur,Urbain,CSP C,Opérationnel,MA-NOU
Casablanca-Settat,Ain Chock Hay Hassani Nouaceur,Urbain,CSP C,Opérationnel,MA-NOU
Casablanca-Settat,Ain Chock Hay Hassani Nouaceur,Urbain,CSP C,Opérationnel,MA-NOU
