region,province,milieu,type_centre,propriete,superficie_m2,etat_centre,province_id
Marrakech-Safi,Al Haouz,Urbain,CSP A,MJCC,6300,Opérationnel,MA-HAO
Marrakech-Safi,Essaouira,Urbain,CSP B,NON,2890,Opérationnel,MA-ESI
Marrakech-Safi,Essaouira,Rural,CSP B,NON,3764,Opérationnel,MA-ESI
Marrakech-Safi,Essaouira,Rural,CSP C,Domaine Communal,3557,Opérationnel,MA-ESI
Marrakech-Safi,Essaouira,Rural,CSP C,Domaine Communal,3557,Opérationnel,MA-ESI
Marrakech-Safi,Safi,Urbain,CSP A,Domaine Communal,1,Opérationnel,MA-SAF
Marrakech-Safi,chichaoua,Urbain,CSP A,MJCC,5613,Opérationnel,MA-CHI
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP B,Commune,2,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP B,Commune,2,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP B,Commune,2,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP B,MJCC,2,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP C,Commune,2,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP C,Commune,2,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP C,MJCC,2,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP C,Domaine de l'État,2,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP C,Domaine de l'État,2,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP C,Domaine de l'État,2,Opérationnel,MA-OUJ
L'Oriental,Driouche,Rural,CSP C,Domaine Communal,1056,Opérationnel,MA-DRI
L'Oriental,Driouche,Urbain,CSP C,Domaine Communal,1056,Opérationnel,MA-DRI
L'Oriental,Driouche,Urbain,CSP C,Domaine Communal,1056,Opérationnel,MA-DRI
L'Oriental,Driouche,Rural,CSP C,Domaine Communal,1056,Opérationnel,MA-DRI
